DIA;ml biogas;T gas;CH4%;SV
0;0;25;0;146.28
1;450;23;5.2;
2;1200;24;8.93;
3;7500;28;10.59;
4;8900;20;22.5;
5;2500;25;17.1;
6;2100;22;25.97;
7;1950;23;28.38;
8;1600;25;34.78;
9;1500;25;43.77;
10;1750;24;56.64;
11;3800;26;64.95;
12;4300;28;65.72;
13;7700;24;67.43;
14;9000;23;67.06;
15;11200;22;67.02;
16;6500;25;65.06;
17;6850;24;66.58;
18;4450;22;63.77;
19;3550;23;60.78;
20;4450;25;58.89;
21;2700;25;62.92;
22;3500;24;63.45;
23;1250;26;59.56;
24;500;21;55.43;
25;750;25;54.20;
26;1250;26;58.59;
27;750;24;52.51;
28;700;25;54.78;
29;1000;23;53.39;
30;800;25;56.4;
31;750;24;53.12;
32;500;25;50.07;
33;500;24;52.98;
34;300;26;51.67;
35;350;23;53.45;
36;250;25;48.67;
37;150;25;50.81;
38;150;23;52.99;
39;50;25;50.57;
40;50;24;52.28;
41;50;25;53.12;
